Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,CarbonEmission
overweight,female,pescatarian,daily,coal,public,,230,frequently,210,large,4,7,26,1,2238
obese,female,vegetarian,less frequently,natural gas,walk/bicycle,,114,rarely,9,extra large,3,9,38,5,1892
overweight,male,omnivore,more frequently,wood,private,petrol,138,never,2472,small,1,14,47,6,2595
overweight,male,omnivore,twice a day,wood,walk/bicycle,,157,rarely,74,medium,3,20,5,7,1074
obese,female,vegetarian,daily,coal,private,diesel,266,very frequently,8457,large,1,3,5,6,4743
overweight,male,vegetarian,less frequently,wood,public,,144,frequently,658,large,1,22,18,9,1647
underweight,female,vegan,less frequently,wood,private,hybrid,56,rarely,5363,medium,4,9,11,19,1832
underweight,female,vegan,more frequently,coal,walk/bicycle,,59,very frequently,54,extra large,3,5,39,15,2322
overweight,male,omnivore,daily,wood,public,,200,frequently,1376,medium,3,3,31,15,2494
underweight,female,pescatarian,daily,wood,public,,135,rarely,440,extra large,1,8,23,18,1178
normal,female,vegetarian,more frequently,wood,public,,146,never,1561,extra large,4,12,27,21,1427
obese,male,vegetarian,more frequently,coal,walk/bicycle,,111,very frequently,69,medium,5,9,4,4,3226
underweight,female,omnivore,twice a day,coal,walk/bicycle,,114,rarely,92,large,3,18,27,4,1593
underweight,female,vegan,less frequently,electricity,private,lpg,111,rarely,2893,large,6,13,16,10,1732
obese,male,pescatarian,less frequently,natural gas,public,,123,rarely,1989,small,6,13,23,8,1743
overweight,female,vegetarian,less frequently,electricity,public,,225,very frequently,692,small,6,9,24,15,2101
normal,male,pescatarian,more frequently,electricity,walk/bicycle,,219,frequently,7,extra large,4,23,42,14,2609
overweight,female,pescatarian,daily,wood,public,,104,rarely,948,large,6,1,6,22,1565
underweight,male,vegan,more frequently,electricity,private,petrol,126,very frequently,7622,medium,2,6,37,9,5272
normal,female,omnivore,more frequently,wood,walk/bicycle,,288,never,51,small,4,15,22,6,1220
normal,male,vegan,twice a day,electricity,private,electric,282,rarely,2237,large,6,0,8,5,1300
obese,female,pescatarian,less frequently,wood,public,,69,rarely,1804,large,1,6,3,7,1024
overweight,male,omnivore,twice a day,wood,walk/bicycle,,110,never,85,small,3,14,4,3,706
obese,male,vegetarian,daily,coal,private,diesel,165,frequently,472,small,4,17,24,20,2582
overweight,male,vegan,daily,coal,private,diesel,62,very frequently,5737,medium,1,5,20,20,4284
obese,female,pescatarian,less frequently,electricity,walk/bicycle,,94,rarely,88,medium,6,17,0,3,807
underweight,female,vegan,daily,electricity,public,,259,frequently,558,large,4,4,50,23,1991
obese,male,vegetarian,less frequently,electricity,public,,67,rarely,752,large,3,14,37,14,1817
obese,male,pescatarian,daily,wood,walk/bicycle,,130,rarely,71,small,2,10,15,10,1490
underweight,female,omnivore,less frequently,electricity,public,,258,frequently,1028,small,2,13,44,4,1561
obese,female,vegan,more frequently,wood,public,,189,frequently,1527,medium,4,23,34,10,2202
underweight,female,vegetarian,daily,coal,walk/bicycle,,262,frequently,88,large,5,24,8,15,2024
normal,female,pescatarian,daily,natural gas,walk/bicycle,,157,frequently,73,medium,4,1,42,22,1659
normal,female,pescatarian,daily,wood,private,lpg,280,very frequently,8320,small,5,9,0,4,3911
normal,male,vegetarian,twice a day,coal,walk/bicycle,,121,never,72,medium,6,11,4,10,1204
underweight,female,vegan,less frequently,coal,walk/bicycle,,174,very frequently,9,large,2,1,40,15,2431
obese,male,vegetarian,daily,electricity,walk/bicycle,,173,frequently,60,medium,2,16,14,20,1640
underweight,male,vegan,twice a day,natural gas,walk/bicycle,,199,frequently,13,medium,5,17,6,15,1648
underweight,male,omnivore,less frequently,wood,walk/bicycle,,94,rarely,32,small,6,15,5,17,1002
underweight,female,pescatarian,less frequently,coal,walk/bicycle,,64,frequently,49,small,1,19,47,16,1771
overweight,female,omnivore,twice a day,electricity,public,,100,very frequently,1351,extra large,1,20,24,5,2028
normal,female,vegetarian,more frequently,coal,public,,240,very frequently,1726,medium,2,15,19,5,2540
underweight,female,omnivore,daily,electricity,public,,245,never,1021,medium,7,14,48,10,1386
normal,female,pescatarian,daily,coal,walk/bicycle,,270,rarely,62,small,5,22,21,11,1679
overweight,male,omnivore,daily,wood,private,electric,294,very frequently,9488,small,5,16,20,18,3141
normal,male,vegetarian,more frequently,wood,public,,87,very frequently,1037,large,4,0,11,24,2627
underweight,male,pescatarian,less frequently,wood,private,electric,209,never,9555,large,2,13,43,3,1188
underweight,male,pescatarian,twice a day,electricity,private,diesel,124,never,9031,extra large,5,1,11,5,3174
overweight,female,vegetarian,more frequently,natural gas,public,,276,frequently,1461,large,7,19,5,12,2327
overweight,female,vegan,daily,wood,walk/bicycle,,90,very frequently,39,medium,3,22,7,9,1822
obese,female,vegan,less frequently,natural gas,private,diesel,136,never,5033,medium,6,0,43,24,2665
underweight,male,vegan,daily,electricity,public,,246,frequently,1065,extra large,4,22,43,7,2129
normal,male,pescatarian,less frequently,wood,public,,94,rarely,927,medium,5,18,10,21,1425
overweight,male,vegetarian,more frequently,electricity,private,hybrid,253,frequently,2277,large,1,0,11,20,1690
obese,female,omnivore,more frequently,natural gas,walk/bicycle,,200,rarely,97,medium,7,13,18,0,1717
normal,male,vegan,less frequently,coal,private,lpg,281,frequently,7272,large,2,4,38,5,4060
obese,female,vegetarian,less frequently,electricity,private,petrol,82,rarely,5260,extra large,3,14,18,17,3262
overweight,female,pescatarian,more frequently,coal,public,,73,rarely,1750,extra large,1,9,30,12,1674
obese,male,vegetarian,daily,natural gas,private,hybrid,246,frequently,2998,small,4,0,36,3,3135
underweight,male,pescatarian,less frequently,natural gas,private,lpg,98,rarely,9147,extra large,5,1,49,20,4465
overweight,male,pescatarian,twice a day,electricity,public,,256,rarely,1947,extra large,3,23,33,8,1984
overweight,female,vegetarian,less frequently,electricity,private,lpg,287,very frequently,4885,large,1,21,21,3,3246
obese,female,omnivore,daily,electricity,walk/bicycle,,63,frequently,20,large,4,1,6,14,1351
obese,male,vegetarian,less frequently,coal,walk/bicycle,,158,never,23,extra large,1,24,33,2,1929
obese,male,omnivore,twice a day,electricity,walk/bicycle,,241,frequently,34,large,5,24,15,10,2719
obese,female,vegetarian,twice a day,coal,walk/bicycle,,176,frequently,59,large,1,11,41,19,2336
normal,female,vegetarian,less frequently,wood,public,,189,never,682,small,6,0,35,3,1270
obese,female,vegetarian,less frequently,natural gas,walk/bicycle,,214,never,10,large,6,20,12,24,1803
normal,female,vegan,daily,electricity,walk/bicycle,,264,very frequently,10,medium,1,7,22,17,1816
normal,male,omnivore,twice a day,coal,private,petrol,213,never,7964,small,1,16,43,9,4638
underweight,female,omnivore,twice a day,coal,private,hybrid,281,rarely,3606,small,3,16,8,22,1909
normal,male,vegan,less frequently,natural gas,public,,280,frequently,536,large,2,2,30,1,2021
normal,male,omnivore,more frequently,natural gas,public,,125,rarely,1564,large,5,4,15,23,1896
obese,male,vegan,daily,electricity,walk/bicycle,,188,frequently,78,small,4,11,21,3,1770
normal,female,omnivore,daily,wood,walk/bicycle,,251,never,98,small,1,12,47,3,1323
normal,female,pescatarian,daily,wood,public,,285,very frequently,1820,small,1,21,24,9,2269
obese,male,vegan,more frequently,wood,public,,234,never,243,extra large,4,20,36,5,1918
overweight,female,vegan,daily,natural gas,public,,91,very frequently,1586,small,7,8,43,2,2477
normal,female,omnivore,daily,natural gas,walk/bicycle,,118,frequently,11,large,3,6,10,16,1444
obese,female,vegetarian,twice a day,natural gas,walk/bicycle,,75,never,72,small,5,15,42,16,1254
overweight,male,vegetarian,more frequently,electricity,public,,134,never,1157,small,5,19,35,10,1411
underweight,male,pescatarian,daily,wood,public,,282,never,1380,extra large,4,7,11,8,1605
obese,male,vegetarian,less frequently,electricity,private,lpg,110,never,5765,medium,5,7,2,18,3054
overweight,female,vegetarian,less frequently,natural gas,walk/bicycle,,202,very frequently,92,extra large,6,9,16,14,2902
overweight,male,pescatarian,less frequently,electricity,private,lpg,56,frequently,7797,large,7,22,8,15,4301
normal,female,vegan,twice a day,electricity,walk/bicycle,,223,very frequently,50,small,3,12,35,22,2308
normal,female,vegetarian,more frequently,wood,private,petrol,202,frequently,7629,medium,1,17,37,2,4132
overweight,male,vegetarian,daily,wood,private,petrol,114,frequently,2367,medium,3,1,41,23,2993
overweight,female,omnivore,daily,wood,private,petrol,141,frequently,3960,medium,1,7,21,1,3098
overweight,female,vegan,twice a day,coal,walk/bicycle,,236,rarely,42,extra large,2,19,15,10,1364
normal,female,omnivore,daily,coal,private,lpg,95,rarely,6455,large,1,15,31,14,2941
overweight,female,vegetarian,more frequently,electricity,walk/bicycle,,249,frequently,41,large,4,6,2,4,1349
overweight,female,pescatarian,daily,natural gas,walk/bicycle,,213,never,71,medium,1,24,17,16,1038
obese,male,vegetarian,twice a day,wood,walk/bicycle,,81,never,39,medium,7,16,31,15,1815
overweight,female,vegetarian,more frequently,coal,walk/bicycle,,91,very frequently,50,extra large,1,13,29,24,2566
overweight,female,vegan,twice a day,wood,private,electric,291,very frequently,8707,medium,3,2,23,23,2439
obese,female,pescatarian,twice a day,electricity,private,lpg,70,very frequently,167,small,2,9,7,20,2056
overweight,female,pescatarian,more frequently,natural gas,public,,89,very frequently,631,medium,7,2,0,18,2299
overweight,male,vegan,twice a day,electricity,public,,121,rarely,194,large,6,15,16,18,1492
underweight,female,omnivore,daily,coal,walk/bicycle,,198,rarely,46,medium,1,12,45,17,1692
obese,male,vegetarian,more frequently,wood,walk/bicycle,,234,frequently,37,extra large,3,15,29,3,2581
overweight,male,vegetarian,less frequently,wood,walk/bicycle,,84,rarely,31,large,2,0,1,1,950
normal,male,vegan,twice a day,coal,private,lpg,182,never,2880,small,5,10,9,1,1923
overweight,female,pescatarian,less frequently,wood,walk/bicycle,,275,never,6,extra large,2,19,49,19,1751
underweight,female,pescatarian,more frequently,coal,walk/bicycle,,228,very frequently,40,small,6,1,35,7,2562
overweight,male,vegan,more frequently,wood,walk/bicycle,,140,frequently,1,large,6,9,24,24,2456
overweight,female,vegetarian,more frequently,electricity,public,,232,never,1341,extra large,1,22,8,1,657
normal,female,pescatarian,twice a day,electricity,public,,115,very frequently,393,small,3,21,13,9,1758
obese,female,vegan,daily,natural gas,public,,157,frequently,191,medium,4,2,44,12,2184
